group,frame_count,unique_frames,static,mean_byte_delta,warm_pixel_range,smoke_pixel_range,max_width,max_height
mbc6_dmgov,8,8,False,0.013041,0,116,384,384
mbg2_dmgov,8,8,False,0.011361,199,278,384,384
mbg3_dmgov,8,8,False,0.011695,0,321,384,384
mbg3f_dmgov,8,8,False,0.011387,0,321,384,384
mbl5_dmgov,8,8,False,0.011179,222,300,384,384
mbm4_dmgov,8,8,False,0.010885,210,282,384,384
mbo2_dmgov,8,8,False,0.010949,199,278,384,384
mbr5_dmgov,8,8,False,0.010268,222,300,384,384
mbs6_dmgov,8,8,False,0.013041,0,116,384,384
mbs7_dmgov,8,8,False,0.012898,0,83,384,384
mbt7_dmgov,8,8,False,0.014366,0,207,384,384
mbw4_dmgov,8,8,False,0.012664,213,87,384,384
n6bc_dmg,6,4,False,0.184226,0,1060,192,256
n6x_cr_dmg,3,3,False,0.044301,0,193,192,192
n6x_cw_dmg,3,3,False,0.035173,309,60,192,192
n6x_hw_dmg,3,3,False,0.103751,394,167,156,156
n6x_st_dmg,3,3,False,0.039283,325,201,192,192
n6x_tf_dmg,3,3,False,0.050344,303,860,192,192
n6x_tl_dmg,3,3,False,0.042613,506,170,192,192
ngm_doom_dmg,3,3,False,0.520696,835,278,103,304
ngm_judge_dmg,3,3,False,0.514912,12,1578,137,304
ngm_storm_dmg,3,3,False,1.0,545,61,184,253
ngm_titan_dmg,3,3,False,1.0,290,146,112,308
nx_smoke,8,8,False,0.182406,0,2525,136,136
nxp_smoke,8,8,False,0.319846,11729,8,256,256
