family,frame,changed,alpha_pixels,component_count,largest_component,largest_component_share,removed_components,removed_pixels,edge_touch,semitransparent_pixels
vfx-cosmic-chain-orb,cosmic-chain-orb-01.png,False,9527,1,9527,1.0,0,0,False,0
vfx-cosmic-chain-orb,cosmic-chain-orb-02.png,False,11317,1,11317,1.0,0,0,False,0
vfx-cosmic-chain-orb,cosmic-chain-orb-03.png,False,10404,1,10404,1.0,0,0,False,0
vfx-cosmic-chain-orb,cosmic-chain-orb-04.png,False,11993,1,11993,1.0,0,0,False,0
vfx-cosmic-chain-orb,cosmic-chain-orb-05.png,False,10846,1,10846,1.0,0,0,False,0
vfx-cosmic-chain-orb,cosmic-chain-orb-06.png,False,10056,1,10056,1.0,0,0,False,0
vfx-cosmic-crescent-arc-muzzle,cosmic-crescent-arc-muzzle-01.png,True,903,18,762,0.8439,1,1,False,0
vfx-cosmic-crescent-arc-muzzle,cosmic-crescent-arc-muzzle-02.png,True,3777,24,2976,0.7879,4,20,False,0
vfx-cosmic-crescent-arc-muzzle,cosmic-crescent-arc-muzzle-03.png,True,9806,27,7739,0.7892,6,32,False,0
vfx-cosmic-crescent-arc-muzzle,cosmic-crescent-arc-muzzle-04.png,True,7288,28,5747,0.7886,7,31,False,0
vfx-cosmic-crescent-arc-muzzle,cosmic-crescent-arc-muzzle-05.png,True,2637,25,2076,0.7873,5,13,False,0
vfx-cosmic-crescent-arc-muzzle,cosmic-crescent-arc-muzzle-06.png,True,492,14,428,0.8699,2,3,False,0
vfx-cosmic-crystal-spike,cosmic-crystal-spike-01.png,False,4679,6,3969,0.8483,0,0,False,0
vfx-cosmic-crystal-spike,cosmic-crystal-spike-02.png,False,5625,6,4768,0.8476,0,0,False,0
vfx-cosmic-crystal-spike,cosmic-crystal-spike-03.png,False,5233,6,4415,0.8437,0,0,False,0
vfx-cosmic-crystal-spike,cosmic-crystal-spike-04.png,False,5965,6,5087,0.8528,0,0,False,0
vfx-cosmic-crystal-spike,cosmic-crystal-spike-05.png,False,5365,6,4522,0.8429,0,0,False,0
vfx-cosmic-crystal-spike,cosmic-crystal-spike-06.png,False,4979,6,4252,0.854,0,0,False,0
vfx-cosmic-gravity-leech-orb,cosmic-gravity-leech-orb-01.png,True,9364,17,8868,0.947,10,60,False,0
vfx-cosmic-gravity-leech-orb,cosmic-gravity-leech-orb-02.png,True,11171,17,10568,0.946,10,69,False,0
vfx-cosmic-gravity-leech-orb,cosmic-gravity-leech-orb-03.png,True,10374,17,9791,0.9438,8,59,False,0
vfx-cosmic-gravity-leech-orb,cosmic-gravity-leech-orb-04.png,True,11862,17,11202,0.9444,9,64,False,0
vfx-cosmic-gravity-leech-orb,cosmic-gravity-leech-orb-05.png,True,10700,17,10112,0.945,10,69,False,0
vfx-cosmic-gravity-leech-orb,cosmic-gravity-leech-orb-06.png,True,9759,17,9255,0.9484,10,56,False,0
vfx-cosmic-ion-tracer,cosmic-ion-tracer-01.png,True,3183,6,3056,0.9601,1,8,False,0
vfx-cosmic-ion-tracer,cosmic-ion-tracer-02.png,True,3764,7,3560,0.9458,1,8,False,0
vfx-cosmic-ion-tracer,cosmic-ion-tracer-03.png,True,3465,7,3267,0.9429,1,8,False,0
vfx-cosmic-ion-tracer,cosmic-ion-tracer-04.png,True,3905,7,3683,0.9431,1,8,False,0
vfx-cosmic-ion-tracer,cosmic-ion-tracer-05.png,True,3649,7,3453,0.9463,1,8,False,0
vfx-cosmic-ion-tracer,cosmic-ion-tracer-06.png,True,3265,7,3095,0.9479,1,6,False,0
vfx-cosmic-lattice-fan,cosmic-lattice-fan-01.png,True,6140,5,6124,0.9974,4,16,False,0
vfx-cosmic-lattice-fan,cosmic-lattice-fan-02.png,True,7342,5,7321,0.9971,4,21,False,0
vfx-cosmic-lattice-fan,cosmic-lattice-fan-03.png,True,6799,5,6778,0.9969,4,21,False,0
vfx-cosmic-lattice-fan,cosmic-lattice-fan-04.png,True,7767,5,7746,0.9973,4,21,False,0
vfx-cosmic-lattice-fan,cosmic-lattice-fan-05.png,True,7060,5,7044,0.9977,4,16,False,0
vfx-cosmic-lattice-fan,cosmic-lattice-fan-06.png,True,6472,5,6457,0.9977,4,15,False,0
vfx-cosmic-manta-wave,cosmic-manta-wave-01.png,True,10129,9,10097,0.9968,3,9,False,0
vfx-cosmic-manta-wave,cosmic-manta-wave-02.png,True,12023,9,11971,0.9957,2,15,False,0
vfx-cosmic-manta-wave,cosmic-manta-wave-03.png,True,11054,9,11004,0.9955,2,15,False,0
vfx-cosmic-manta-wave,cosmic-manta-wave-04.png,True,12733,9,12673,0.9953,1,8,False,0
vfx-cosmic-manta-wave,cosmic-manta-wave-05.png,True,11564,9,11512,0.9955,2,15,False,0
vfx-cosmic-manta-wave,cosmic-manta-wave-06.png,True,10628,9,10579,0.9954,2,15,False,0
vfx-cosmic-phase-shard-volley,cosmic-phase-shard-volley-01.png,False,7680,43,2840,0.3698,0,0,False,0
vfx-cosmic-phase-shard-volley,cosmic-phase-shard-volley-02.png,False,9044,42,3323,0.3674,0,0,False,0
vfx-cosmic-phase-shard-volley,cosmic-phase-shard-volley-03.png,False,8171,43,3020,0.3696,0,0,False,0
vfx-cosmic-phase-shard-volley,cosmic-phase-shard-volley-04.png,False,9636,42,3589,0.3725,0,0,False,0
vfx-cosmic-phase-shard-volley,cosmic-phase-shard-volley-05.png,False,8658,42,3096,0.3576,0,0,False,0
vfx-cosmic-phase-shard-volley,cosmic-phase-shard-volley-06.png,False,7990,41,2929,0.3666,0,0,False,0
vfx-cosmic-phase-split-bolt,cosmic-phase-split-bolt-01.png,True,7187,30,6719,0.9349,14,59,False,0
vfx-cosmic-phase-split-bolt,cosmic-phase-split-bolt-02.png,True,8464,31,7932,0.9371,17,87,False,0
vfx-cosmic-phase-split-bolt,cosmic-phase-split-bolt-03.png,True,7838,28,7334,0.9357,13,66,False,0
vfx-cosmic-phase-split-bolt,cosmic-phase-split-bolt-04.png,True,8830,31,8274,0.937,17,92,False,0
vfx-cosmic-phase-split-bolt,cosmic-phase-split-bolt-05.png,True,7984,31,7463,0.9347,17,87,False,0
vfx-cosmic-phase-split-bolt,cosmic-phase-split-bolt-06.png,True,7578,31,7073,0.9334,15,73,False,0
vfx-cosmic-prism-impact,cosmic-prism-impact-01.png,True,325,4,314,0.9662,1,2,False,0
vfx-cosmic-prism-impact,cosmic-prism-impact-02.png,True,1569,6,1559,0.9936,1,5,False,0
vfx-cosmic-prism-impact,cosmic-prism-impact-03.png,True,4143,6,4124,0.9954,1,7,False,0
vfx-cosmic-prism-impact,cosmic-prism-impact-04.png,False,6878,8,6736,0.9794,0,0,False,0
vfx-cosmic-prism-impact,cosmic-prism-impact-05.png,True,3584,6,3562,0.9939,1,9,False,0
vfx-cosmic-prism-impact,cosmic-prism-impact-06.png,True,876,5,844,0.9635,1,3,False,0
vfx-cosmic-rift-collapse,cosmic-rift-collapse-01.png,True,442,12,416,0.9412,4,9,False,0
vfx-cosmic-rift-collapse,cosmic-rift-collapse-02.png,True,2164,34,2037,0.9413,14,24,False,0
vfx-cosmic-rift-collapse,cosmic-rift-collapse-03.png,True,5767,36,5467,0.948,16,58,False,0
vfx-cosmic-rift-collapse,cosmic-rift-collapse-04.png,True,9550,43,8937,0.9358,22,99,False,0
vfx-cosmic-rift-collapse,cosmic-rift-collapse-05.png,True,4940,38,4638,0.9389,20,66,False,0
vfx-cosmic-rift-collapse,cosmic-rift-collapse-06.png,True,1214,26,1150,0.9473,11,24,False,0
vfx-cosmic-singularity-mine,cosmic-singularity-mine-01.png,False,7168,2,7065,0.9856,0,0,False,0
