alias,candidate
nef_s1_jungle_tank_damaged,nef_s1_jungle_tank_damaged_idle
nef_s1_jungle_tank_critical,nef_s1_jungle_tank_critical_idle
nef_s1_jungle_mini_tank_damaged,nef_s1_jungle_mini_tank_damaged_idle
nef_s1_jungle_mini_tank_critical,nef_s1_jungle_mini_tank_critical_idle
nef_s1_jungle_apc_damaged,nef_s1_jungle_apc_damaged_idle
nef_s1_jungle_apc_critical,nef_s1_jungle_apc_critical_idle
nef_s1_rocket_buggy_damaged,nef_s1_rocket_buggy_damaged_idle
nef_s1_rocket_buggy_critical,nef_s1_rocket_buggy_critical_idle
nef_s1_river_patrol_boat_damaged,nef_s1_river_patrol_boat_damaged_idle
nef_s1_river_patrol_boat_critical,nef_s1_river_patrol_boat_critical_idle
nef_s1_missile_gunboat_damaged,nef_s1_missile_gunboat_damaged_idle
nef_s1_missile_gunboat_critical,nef_s1_missile_gunboat_critical_idle
nef_s1_landing_craft_damaged,nef_s1_landing_craft_damaged_idle
nef_s1_landing_craft_critical,nef_s1_landing_craft_critical_idle
nef_s1_river_corvette_damaged,nef_s1_river_corvette_damaged_idle
nef_s1_river_corvette_critical,nef_s1_river_corvette_critical_idle
nef_s1_camo_attack_jet_damaged,nef_s1_camo_attack_jet_damaged_idle
nef_s1_camo_attack_jet_critical,nef_s1_camo_attack_jet_critical_idle
nef_s1_jungle_bomber_damaged,nef_s1_jungle_bomber_damaged_idle
nef_s1_jungle_bomber_critical,nef_s1_jungle_bomber_critical_idle
nef_s1_fuel_barrel_damaged,nef_s1_fuel_barrel_damaged_idle
nef_s1_fuel_barrel_critical,nef_s1_fuel_barrel_critical_idle
nef_s1_fuel_tank_damaged,nef_s1_fuel_tank_damaged_idle
nef_s1_fuel_tank_critical,nef_s1_fuel_tank_critical_idle
nef_s1_ammo_crate_damaged,nef_s1_ammo_crate_damaged_idle
nef_s1_ammo_crate_critical,nef_s1_ammo_crate_critical_idle
nef_s1_river_mine_damaged,nef_s1_river_mine_damaged_idle
nef_s1_river_mine_critical,nef_s1_river_mine_critical_idle
nef_s2_lava_crawler_damaged,nef_s2_lava_crawler_damaged_idle
nef_s2_lava_crawler_critical,nef_s2_lava_crawler_critical_idle
nef_s2_mini_drill_tank_damaged,nef_s2_mini_drill_tank_damaged_idle
nef_s2_mini_drill_tank_critical,nef_s2_mini_drill_tank_critical_idle
nef_s2_magma_artillery_damaged,nef_s2_magma_artillery_damaged_idle
nef_s2_magma_artillery_critical,nef_s2_magma_artillery_critical_idle
nef_s2_heat_shielded_barrel_damaged,nef_s2_heat_shielded_barrel_damaged_idle
nef_s2_heat_shielded_barrel_critical,nef_s2_heat_shielded_barrel_critical_idle
nef_s2_volcanic_mine_damaged,nef_s2_volcanic_mine_damaged_idle
nef_s2_volcanic_mine_critical,nef_s2_volcanic_mine_critical_idle
nef_s2_tracked_flame_turret_damaged,nef_s2_tracked_flame_turret_damaged_idle
nef_s2_tracked_flame_turret_critical,nef_s2_tracked_flame_turret_critical_idle
nef_s2_magma_skimmer_damaged,nef_s2_magma_skimmer_damaged_idle
nef_s2_magma_skimmer_critical,nef_s2_magma_skimmer_critical_idle
nef_s2_molten_drone_damaged,nef_s2_molten_drone_damaged_idle
nef_s2_molten_drone_critical,nef_s2_molten_drone_critical_idle
nef_s2_armored_lava_boat_damaged,nef_s2_armored_lava_boat_damaged_idle
nef_s2_armored_lava_boat_critical,nef_s2_armored_lava_boat_critical_idle
nef_s2_drill_buggy_damaged,nef_s2_drill_buggy_damaged_idle
nef_s2_drill_buggy_critical,nef_s2_drill_buggy_critical_idle
nef_s2_eruption_pod_damaged,nef_s2_eruption_pod_damaged_idle
nef_s2_eruption_pod_critical,nef_s2_eruption_pod_critical_idle
nef_s2_volcanic_elite_interceptor_damaged,nef_s2_volcanic_elite_interceptor_damaged_idle
nef_s2_volcanic_elite_interceptor_critical,nef_s2_volcanic_elite_interceptor_critical_idle
nef_s3_snow_tank_damaged,nef_s3_snow_tank_damaged_idle
nef_s3_snow_tank_critical,nef_s3_snow_tank_critical_idle
nef_s3_ice_crawler_damaged,nef_s3_ice_crawler_damaged_idle
nef_s3_ice_crawler_critical,nef_s3_ice_crawler_critical_idle
nef_s3_aa_sled_damaged,nef_s3_aa_sled_damaged_idle
nef_s3_aa_sled_critical,nef_s3_aa_sled_critical_idle
nef_s3_frozen_turret_damaged,nef_s3_frozen_turret_damaged_idle
nef_s3_frozen_turret_critical,nef_s3_frozen_turret_critical_idle
nef_s3_shard_mine_damaged,nef_s3_shard_mine_damaged_idle
nef_s3_shard_mine_critical,nef_s3_shard_mine_critical_idle
nef_s3_explosive_cryo_canister_damaged,nef_s3_explosive_cryo_canister_damaged_idle
nef_s3_explosive_cryo_canister_critical,nef_s3_explosive_cryo_canister_critical_idle
nef_s3_ice_skimmer_damaged,nef_s3_ice_skimmer_damaged_idle
nef_s3_ice_skimmer_critical,nef_s3_ice_skimmer_critical_idle
nef_s3_glacier_drone_damaged,nef_s3_glacier_drone_damaged_idle
nef_s3_glacier_drone_critical,nef_s3_glacier_drone_critical_idle
nef_s3_tracked_frost_artillery_damaged,nef_s3_tracked_frost_artillery_damaged_idle
nef_s3_tracked_frost_artillery_critical,nef_s3_tracked_frost_artillery_critical_idle
nef_s3_snowmobile_gunner_damaged,nef_s3_snowmobile_gunner_damaged_idle
nef_s3_snowmobile_gunner_critical,nef_s3_snowmobile_gunner_critical_idle
nef_s3_cryo_barge_damaged,nef_s3_cryo_barge_damaged_idle
nef_s3_cryo_barge_critical,nef_s3_cryo_barge_critical_idle
nef_s3_elite_ice_interceptor_damaged,nef_s3_elite_ice_interceptor_damaged_idle
nef_s3_elite_ice_interceptor_critical,nef_s3_elite_ice_interceptor_critical_idle
