key,intact_key,status,fire_pixels,smoke_pixels
nef_s1_jungle_tank_damaged_idle,nef_s1_jungle_tank_intact_idle,candidate_generated,1658,0
nef_s1_jungle_tank_critical_idle,nef_s1_jungle_tank_intact_idle,candidate_generated,7854,3430
nef_s1_jungle_mini_tank_damaged_idle,nef_s1_jungle_mini_tank_intact_idle,candidate_generated,2026,0
nef_s1_jungle_mini_tank_critical_idle,nef_s1_jungle_mini_tank_intact_idle,candidate_generated,9136,0
nef_s1_jungle_apc_damaged_idle,nef_s1_jungle_apc_intact_idle,candidate_generated,1432,0
nef_s1_jungle_apc_critical_idle,nef_s1_jungle_apc_intact_idle,candidate_generated,6773,2945
nef_s1_rocket_buggy_damaged_idle,nef_s1_rocket_buggy_intact_idle,candidate_generated,1020,1365
nef_s1_rocket_buggy_critical_idle,nef_s1_rocket_buggy_intact_idle,candidate_generated,6720,3196
nef_s1_river_patrol_boat_damaged_idle,nef_s1_river_patrol_boat_intact_idle,candidate_generated,50,2510
nef_s1_river_patrol_boat_critical_idle,nef_s1_river_patrol_boat_intact_idle,candidate_generated,3211,5452
nef_s1_missile_gunboat_damaged_idle,nef_s1_missile_gunboat_intact_idle,candidate_generated,92,1538
nef_s1_missile_gunboat_critical_idle,nef_s1_missile_gunboat_intact_idle,candidate_generated,3949,3424
nef_s1_landing_craft_damaged_idle,nef_s1_landing_craft_intact_idle,candidate_generated,288,5
nef_s1_landing_craft_critical_idle,nef_s1_landing_craft_intact_idle,candidate_generated,4114,3500
nef_s1_river_corvette_damaged_idle,nef_s1_river_corvette_intact_idle,candidate_generated,17,1410
nef_s1_river_corvette_critical_idle,nef_s1_river_corvette_intact_idle,candidate_generated,2918,4326
nef_s1_camo_attack_jet_damaged_idle,nef_s1_camo_attack_jet_intact_idle,candidate_generated,1293,1291
nef_s1_camo_attack_jet_critical_idle,nef_s1_camo_attack_jet_intact_idle,candidate_generated,6220,3712
nef_s1_jungle_bomber_damaged_idle,nef_s1_jungle_bomber_intact_idle,candidate_generated,1325,1387
nef_s1_jungle_bomber_critical_idle,nef_s1_jungle_bomber_intact_idle,candidate_generated,7541,4000
nef_s1_fuel_barrel_damaged_idle,nef_s1_fuel_barrel_intact_idle,candidate_generated,1335,3
nef_s1_fuel_barrel_critical_idle,nef_s1_fuel_barrel_intact_idle,candidate_generated,6062,3649
