pack,asset,stage,category,tier,weapon_profile,pattern_count,pattern_ids,preview,review_flags
volume_1_patterns,roster-ammo-crate,1,hazard,,radial,3,ammo-crate-proximity-bloom | ammo-crate-delayed-cross | ammo-crate-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-camo-attack-jet,1,air,,dual,3,camo-attack-jet-aimed-burst | camo-attack-jet-bracket-fan | camo-attack-jet-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-fuel-barrel,1,hazard,,radial,3,fuel-barrel-proximity-bloom | fuel-barrel-delayed-cross | fuel-barrel-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-fuel-tank,1,ground,,single,3,fuel-tank-aimed-burst | fuel-tank-bracket-fan | fuel-tank-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-jungle-apc,1,ground,,single,3,jungle-apc-aimed-burst | jungle-apc-bracket-fan | jungle-apc-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-jungle-bomber,1,bomber,,bomb,3,jungle-bomber-aimed-burst | jungle-bomber-bracket-fan | jungle-bomber-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-jungle-mini-tank,1,ground,,single,3,jungle-mini-tank-aimed-burst | jungle-mini-tank-bracket-fan | jungle-mini-tank-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-jungle-tank,1,ground,,single,3,jungle-tank-aimed-burst | jungle-tank-bracket-fan | jungle-tank-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-landing-craft,1,naval,,dual,3,landing-craft-aimed-burst | landing-craft-bracket-fan | landing-craft-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-missile-gunboat,1,naval,,dual,3,missile-gunboat-aimed-burst | missile-gunboat-bracket-fan | missile-gunboat-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-prop-attack-plane,1,air,,dual,3,prop-attack-plane-aimed-burst | prop-attack-plane-bracket-fan | prop-attack-plane-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-river-corvette,1,naval,,dual,3,river-corvette-aimed-burst | river-corvette-bracket-fan | river-corvette-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-river-mine,1,hazard,,radial,3,river-mine-proximity-bloom | river-mine-delayed-cross | river-mine-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-river-patrol-boat,1,naval,,dual,3,river-patrol-boat-aimed-burst | river-patrol-boat-bracket-fan | river-patrol-boat-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-rocket-buggy,1,missile,,dual,3,rocket-buggy-aimed-burst | rocket-buggy-bracket-fan | rocket-buggy-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-vtol-gunship,1,air,,dual,3,vtol-gunship-aimed-burst | vtol-gunship-bracket-fan | vtol-gunship-flak-blossom,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-armored-lava-boat,2,naval,,dual,3,armored-lava-boat-aimed-burst | armored-lava-boat-bracket-fan | armored-lava-boat-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-drill-buggy,2,ground,,single,3,drill-buggy-aimed-burst | drill-buggy-bracket-fan | drill-buggy-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-eruption-pod,2,hazard,,radial,3,eruption-pod-proximity-bloom | eruption-pod-delayed-cross | eruption-pod-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-heat-shielded-barrel,2,hazard,,radial,3,heat-shielded-barrel-proximity-bloom | heat-shielded-barrel-delayed-cross | heat-shielded-barrel-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-lava-crawler,2,ground,,single,3,lava-crawler-aimed-burst | lava-crawler-bracket-fan | lava-crawler-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-magma-artillery,2,ground,,single,3,magma-artillery-aimed-burst | magma-artillery-bracket-fan | magma-artillery-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-magma-skimmer,2,air,,dual,3,magma-skimmer-aimed-burst | magma-skimmer-bracket-fan | magma-skimmer-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-mini-drill-tank,2,ground,,single,3,mini-drill-tank-aimed-burst | mini-drill-tank-bracket-fan | mini-drill-tank-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-molten-drone,2,air,,dual,3,molten-drone-aimed-burst | molten-drone-bracket-fan | molten-drone-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-tracked-flame-turret,2,ground,,single,3,tracked-flame-turret-aimed-burst | tracked-flame-turret-bracket-fan | tracked-flame-turret-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-volcanic-elite-interceptor,2,air,,dual,3,volcanic-elite-interceptor-aimed-burst | volcanic-elite-interceptor-bracket-fan | volcanic-elite-interceptor-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,roster-volcanic-mine,2,hazard,,radial,3,volcanic-mine-proximity-bloom | volcanic-mine-delayed-cross | volcanic-mine-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,structural-ash-drone,2,air,,dual,3,ash-drone-aimed-burst | ash-drone-bracket-fan | ash-drone-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,structural-basalt-bomber,2,bomber,,bomb,3,basalt-bomber-aimed-burst | basalt-bomber-bracket-fan | basalt-bomber-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,structural-ember-fighter,2,air,,dual,3,ember-fighter-aimed-burst | ember-fighter-bracket-fan | ember-fighter-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,structural-eruption-turret,2,ground,,single,3,eruption-turret-aimed-burst | eruption-turret-bracket-fan | eruption-turret-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,structural-flame-mini-tank,2,ground,,single,3,flame-mini-tank-aimed-burst | flame-mini-tank-bracket-fan | flame-mini-tank-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,structural-furnace-rocket-convoy,2,missile,,dual,3,furnace-rocket-convoy-aimed-burst | furnace-rocket-convoy-bracket-fan | furnace-rocket-convoy-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,structural-lava-drill-carrier,2,missile,,dual,3,lava-drill-carrier-aimed-burst | lava-drill-carrier-bracket-fan | lava-drill-carrier-eruption-crown,,metadata only; per-enemy runtime frames absent
volume_1_patterns,structural-lava-skimmer,2,air,,dual,3,lava-skimmer-aimed-burst | lava-skimmer-bracket-fan | lava-skimmer-eruption-crown,,metadata only; per-enemy runtime frames absent
